Month,Sports betting: (United States)
2004-01,40
2004-02,26
2004-03,25
2004-04,24
2004-05,25
2004-06,27
2004-07,18
2004-08,22
2004-09,45
2004-10,46
2004-11,34
2004-12,30
2005-01,36
2005-02,33
2005-03,25
2005-04,21
2005-05,27
2005-06,19
2005-07,15
2005-08,19
2005-09,38
2005-10,42
2005-11,32
2005-12,33
2006-01,37
2006-02,31
2006-03,24
2006-04,19
2006-05,26
2006-06,23
2006-07,19
2006-08,23
2006-09,51
2006-10,38
2006-11,30
2006-12,26
2007-01,30
2007-02,26
2007-03,20
2007-04,17
2007-05,25
2007-06,15
2007-07,15
2007-08,20
2007-09,43
2007-10,36
2007-11,33
2007-12,28
2008-01,32
2008-02,28
2008-03,20
2008-04,17
2008-05,23
2008-06,18
2008-07,13
2008-08,18
2008-09,37
2008-10,30
2008-11,30
2008-12,25
2009-01,30
2009-02,21
2009-03,17
2009-04,15
2009-05,22
2009-06,14
2009-07,13
2009-08,17
2009-09,34
2009-10,30
2009-11,30
2009-12,24
2010-01,27
2010-02,29
2010-03,20
2010-04,20
2010-05,22
2010-06,22
2010-07,15
2010-08,15
2010-09,30
2010-10,28
2010-11,26
2010-12,24
2011-01,29
2011-02,30
2011-03,19
2011-04,16
2011-05,20
2011-06,13
2011-07,11
2011-08,14
2011-09,33
2011-10,28
2011-11,27
2011-12,23
2012-01,29
2012-02,29
2012-03,17
2012-04,15
2012-05,22
2012-06,19
2012-07,12
2012-08,15
2012-09,33
2012-10,29
2012-11,29
2012-12,24
2013-01,28
2013-02,27
2013-03,18
2013-04,15
2013-05,21
2013-06,16
2013-07,12
2013-08,17
2013-09,33
2013-10,28
2013-11,27
2013-12,23
2014-01,32
2014-02,30
2014-03,18
2014-04,18
2014-05,23
2014-06,28
2014-07,20
2014-08,19
2014-09,34
2014-10,33
2014-11,29
2014-12,26
2015-01,34
2015-02,28
2015-03,24
2015-04,24
2015-05,27
2015-06,22
2015-07,16
2015-08,19
2015-09,33
2015-10,33
2015-11,30
2015-12,26
2016-01,33
2016-02,38
2016-03,26
2016-04,23
2016-05,32
2016-06,28
2016-07,22
2016-08,21
2016-09,37
2016-10,38
2016-11,33
2016-12,26
2017-01,30
2017-02,27
2017-03,22
2017-04,19
2017-05,20
2017-06,16
2017-07,16
2017-08,24
2017-09,30
2017-10,29
2017-11,21
2017-12,20
2018-01,23
2018-02,19
2018-03,28
2018-04,24
2018-05,52
2018-06,33
2018-07,18
2018-08,18
2018-09,32
2018-10,31
2018-11,35
2018-12,31
2019-01,42
2019-02,35
2019-03,24
2019-04,29
2019-05,37
2019-06,28
2019-07,19
2019-08,27
2019-09,52
2019-10,44
2019-11,45
2019-12,45
2020-01,53
2020-02,43
2020-03,21
2020-04,18
2020-05,21
2020-06,24
2020-07,53
2020-08,40
2020-09,61
2020-10,65
2020-11,80
2020-12,59
2021-01,72
2021-02,68
2021-03,45
2021-04,49
2021-05,54
2021-06,53
2021-07,46
2021-08,60
2021-09,90
2021-10,90
2021-11,85
2021-12,61
2022-01,64
2022-02,54
2022-03,42
2022-04,40
2022-05,31
2022-06,31
2022-07,29
2022-08,36
2022-09,55
2022-10,57
2022-11,59
2022-12,56
2023-01,63
2023-02,57
2023-03,59
2023-04,43
2023-05,43
2023-06,31
2023-07,34
2023-08,36
2023-09,65
2023-10,57
2023-11,62
2023-12,59
2024-01,64
2024-02,59
2024-03,54
2024-04,51
2024-05,52
2024-06,49
2024-07,46
2024-08,48
2024-09,70
2024-10,82
2024-11,100
2024-12,62
2025-01,63
2025-02,60
2025-03,52
2025-04,52
2025-05,55
2025-06,62
2025-07,57
2025-08,55
2025-09,93
2025-10,93
2025-11,76
